Year,Top_Country_Origin,Top_Country_Refugees,Top_Country_Asylum,Top_Asylum_Refugees,Asylum_Rank
1951,Unknown,350000,"United States of America",350000,1
1951,Unknown,350000,France,290000,2
1951,Unknown,350000,Austria,282000,3
1952,Unknown,500000,"United States of America",500000,1
1952,Unknown,500000,France,280000,2
1952,Unknown,500000,Germany,240000,3
1953,Unknown,500000,"United States of America",500000,1
1953,Unknown,500000,France,270000,2
1953,Unknown,500000,Germany,228000,3
1954,Unknown,500000,"United States of America",500000,1
1954,Unknown,500000,France,263000,2
1954,Unknown,500000,Germany,225000,3
1955,Unknown,500000,"United States of America",500000,1
1955,Unknown,500000,France,345415,2
1955,Unknown,500000,Germany,219000,3
1956,Unknown,500000,"United States of America",500000,1
1956,Unknown,500000,France,363290,2
1956,Unknown,500000,Germany,221000,3
1957,Unknown,500000,"United States of America",500000,1
1957,Unknown,500000,France,389480,2
1957,Unknown,500000,Germany,217000,3
1958,Unknown,500000,"United States of America",500000,1
1958,Unknown,500000,France,381152,2
1958,Unknown,500000,Germany,212000,3
1959,Unknown,500000,"United States of America",500000,1
1959,Unknown,500000,France,387201,2
1959,Unknown,500000,Germany,205000,3
1960,Unknown,500000,"United States of America",500000,1
1960,Unknown,500000,France,245935,2
1960,Unknown,500000,Germany,197000,3
1961,Unknown,500000,"United States of America",500000,1
1961,Unknown,500000,France,253375,2
1961,Unknown,500000,"Dem. Rep. of the Congo",203000,3
1962,Unknown,500000,"United States of America",500000,1
1962,Unknown,500000,France,259740,2
1962,Unknown,500000,"Dem. Rep. of the Congo",223000,3
1963,Unknown,500000,"United States of America",500000,1
1963,Unknown,500000,"Dem. Rep. of the Congo",237000,2
1963,Unknown,500000,Germany,182000,3
1964,China,1120000,"China, Hong Kong SAR",1120000,1
1964,China,1120000,"United States of America",500000,2
1964,China,1120000,"Dem. Rep. of the Congo",236000,3
1965,China,1250000,"China, Hong Kong SAR",1251200,1
1965,China,1250000,"United States of America",510000,2
1965,China,1250000,"Dem. Rep. of the Congo",265000,3
1966,China,1250040,"China, Hong Kong SAR",1250040,1
1966,China,1250040,"United States of America",500000,2
1966,China,1250040,"Dem. Rep. of the Congo",357100,3
1967,Unknown,480000,"United States of America",480000,1
1967,Unknown,480000,"Dem. Rep. of the Congo",434100,2
1967,Unknown,480000,Unknown,180050,3
1968,Unknown,498000,"United States of America",498000,1
1968,Unknown,498000,"Dem. Rep. of the Congo",475400,2
1968,Unknown,498000,France,176736,3
1969,Unknown,500000,"United States of America",500000,1
1969,Unknown,500000,"Dem. Rep. of the Congo",496300,2
1969,Unknown,500000,Uganda,177260,3
1970,Unknown,500000,"United States of America",500000,1
1970,Unknown,500000,"Dem. Rep. of the Congo",489000,2
1970,Unknown,500000,Uganda,179800,3
1971,Unknown,828000,Unknown,828000,1
1971,Unknown,828000,"United States of America",530000,2
1971,Unknown,828000,"Dem. Rep. of the Congo",474250,3
1972,Unknown,724720,Unknown,724720,1
1972,Unknown,724720,"United States of America",530000,2
1972,Unknown,724720,"Dem. Rep. of the Congo",495250,3
1973,Unknown,578750,Unknown,578750,1
1973,Unknown,578750,"United States of America",530000,2
1973,Unknown,578750,"Dem. Rep. of the Congo",460050,3
1974,Unknown,622490,Unknown,633490,1
1974,Unknown,622490,"United States of America",530000,2
1974,Unknown,622490,"Dem. Rep. of the Congo",503250,3
1975,Unknown,749120,Unknown,754120,1
1975,Unknown,749120,"United States of America",530000,2
1975,Unknown,749120,"Dem. Rep. of the Congo",510000,3
1976,Unknown,700000,Lebanon,700000,1
1976,Unknown,700000,Unknown,603300,2
1976,Unknown,700000,"Dem. Rep. of the Congo",515000,3
1977,Unknown,700000,Lebanon,700000,1
1977,Unknown,700000,"United States of America",684700,2
1977,Unknown,700000,"Dem. Rep. of the Congo",530300,3
1978,Unknown,734000,"United States of America",734000,1
1978,Unknown,734000,"Dem. Rep. of the Congo",653000,2
1978,Unknown,734000,Somalia,600000,3
1979,Ethiopia,1175000,Somalia,1175190,1
1979,Ethiopia,1175000,"United States of America",734000,2
1979,Ethiopia,1175000,"Dem. Rep. of the Congo",710480,3
